guid,group_slug,add_group,remove_group
1290e353-cbe5-43c1-b4bf-b94d36eb81e8,"analysis, working-with-team",quality-and-maintenance,
262b1d4a-e5c5-46fe-810e-ee891e2312d3,"motivated-to-learn, working-with-team",analysis,motivated-to-learn
33fcd4ad-af4a-4205-bc6b-3321115ccfff,"working-with-team, organization-and-documentation",organization-and-documentation,
47ab62da-93bc-4b1c-9bbb-a3534ddc1662,extract-load-and-transform,,
4b64dee4-1453-4d82-8624-03056fcf868b,"working-with-team, organization-and-documentation",,
4e9128d0-fab3-435c-94c3-293af6183350,"analysis, motivated-to-learn, working-with-team",,
5090eeb9-acb2-47e2-8c0b-8fbf8daa10f7,quality-and-maintenance,,
57fd69df-5351-4310-97f2-56a484d1f73c,"analysis, quality-and-maintenance",,
5913f339-c3e0-4270-a27e-917b827eff08,"motivated-to-learn, working-with-team",,
62cf7442-c493-4b77-a74a-8b48090ca780,"organization-and-documentation, working-with-team",,organization-and-documentation
6e2c2b8b-fd83-49e4-a3df-9a408ade8c3c,"analysis, organization-and-documentation, working-with-team",,
791855ee-4925-4b00-88ff-02c7f38ed9b7,"motivated-to-learn, working-with-team",,
7f99fa94-bb8e-4392-9267-aaedb0adc15c,"organization-and-documentation, working-with-team",,
81ad8ebd-5d7b-4cea-a857-97cf3249e62c,"analysis, extract-load-and-transform",,
87585a50-cbbd-4b70-b9b8-6ccf1f51b8aa,"extract-load-and-transform, working-with-team",,
8dbe7c60-1adb-468c-b0bb-47a842ac0e6b,motivated-to-learn,,
9bee2e9b-e85d-468d-a25b-3eca38e1358f,dev-ops-and-automation,,
9fd22b7d-482d-46d8-96cb-3a2d98b8b904,dev-ops-and-automation,,
a7d03e7f-dc20-472f-9d23-1f0964f242a5,"analysis, motivated-to-learn",dev-ops-and-automation,
b1d24eb6-ec9a-4937-8b87-9b52fb237516,"organization-and-documentation, quality-and-maintenance",,
b29d8208-f33f-4ec2-bbae-6f838d7aa36a,analysis,"quality-and-maintenance, extract-load-and-transform",
be9ad23f-3c95-4b6a-9592-e45608e4c7ef,"analysis, extract-load-and-transform",,
c23de2c1-c62c-4de6-8533-ab88aeb9cced,"motivated-to-learn, quality-and-maintenance",,
c6e17ac1-e879-47ef-952e-6479a95e7b01,"analysis, motivated-to-learn",dev-ops-and-automation,
d40b2a7a-21a8-4b58-81b2-1beabba8bd6b,"organization-and-documentation, quality-and-maintenance",dev-ops-and-automation,
d50d13b7-4638-4173-88a1-fd8d9060ca7d,extract-load-and-transform,,
d83d14de-afe1-4b2f-a925-b450148358e0,"analysis, working-with-team",dev-ops-and-automation,
dfb2a05f-da1e-45dc-b436-508244a77e63,"extract-load-and-transform, motivated-to-learn",,
e27c5b55-6b0d-4d80-a59d-8a4efc43de04,"extract-load-and-transform, motivated-to-learn, working-with-team",,
e5a2790f-1f38-4b6b-a522-3b115460fb37,working-with-team,,
eda62fd3-99a3-483a-ba39-a7f3fa541cea,quality-and-maintenance,,
f2760b98-c246-4af4-86f0-4a2789755a53,extract-load-and-transform, quality-and-maintenance,analysis,
f479c6c2-238a-4b3b-bcde-f4389b815835,"quality-and-maintenance, motivated-to-learn",,motivated-to-learn